***SESSION HEADER***
{
    "Participant": "0",
    "Timestamp": "17-19-59-02-04-2026"
}
---SESSION HEADER---
time; camera.position; camera.direction; hand.position; hand.direction; input; fps
128.576394; (152.644, 28.232, 21.336); (26.502, 264.212, 355.857); (152.459, 27.829, 21.502); (6.578, 278.454, 336.945); []; 17.811239
128.577395; (152.644, 28.232, 21.336); (26.502, 264.212, 355.857); (152.459, 27.829, 21.502); (6.578, 278.454, 336.945); []; 17.811239
128.578503; (152.644, 28.232, 21.336); (26.502, 264.212, 355.857); (152.459, 27.829, 21.502); (6.578, 278.454, 336.945); []; 17.811239
128.633363; (152.639, 28.232, 21.330); (26.139, 262.275, 355.982); (152.448, 27.837, 21.486); (4.484, 276.139, 336.925); [R_PadTouch]; 17.730413
128.635428; (152.639, 28.232, 21.330); (26.139, 262.275, 355.982); (152.448, 27.837, 21.486); (4.484, 276.139, 336.925); [R_PadTouch]; 17.730413
128.685619; (152.636, 28.232, 21.322); (26.424, 259.295, 355.562); (152.440, 27.840, 21.471); (4.765, 273.571, 334.636); [R_PadTouch]; 17.736582
128.687630; (152.636, 28.232, 21.322); (26.424, 259.295, 355.562); (152.440, 27.840, 21.471); (4.765, 273.571, 334.636); [R_PadTouch]; 17.736582
128.688632; (152.636, 28.232, 21.322); (26.424, 259.295, 355.562); (152.440, 27.840, 21.471); (4.765, 273.571, 334.636); [R_PadTouch]; 17.736582
128.745591; (152.634, 28.230, 21.313); (26.789, 256.373, 355.139); (152.431, 27.843, 21.452); (4.812, 270.055, 333.130); [R_Axis0,R_PadTouch]; 17.918097
128.747102; (152.634, 28.230, 21.313); (26.789, 256.373, 355.139); (152.431, 27.843, 21.452); (4.812, 270.055, 333.130); [R_Axis0,R_PadTouch]; 17.918097
128.804247; (152.633, 28.230, 21.309); (26.805, 255.044, 355.170); (152.427, 27.843, 21.442); (5.105, 268.653, 330.562); [R_Axis0,R_PadTouch]; 17.752682
128.806262; (152.633, 28.230, 21.309); (26.805, 255.044, 355.170); (152.427, 27.843, 21.442); (5.105, 268.653, 330.562); [R_Axis0,R_PadTouch]; 17.752682
128.807264; (152.633, 28.230, 21.309); (26.805, 255.044, 355.170); (152.427, 27.843, 21.442); (5.105, 268.653, 330.562); [R_Axis0,R_PadTouch]; 17.752682
128.863305; (152.632, 28.231, 21.302); (26.426, 252.844, 355.531); (152.421, 27.846, 21.420); (4.114, 265.693, 333.508); [R_Axis0,R_PadTouch]; 17.522472
128.864335; (152.632, 28.231, 21.302); (26.426, 252.844, 355.531); (152.421, 27.846, 21.420); (4.114, 265.693, 333.508); [R_Axis0,R_PadTouch]; 17.522472
128.918902; (152.631, 28.232, 21.296); (25.910, 251.308, 355.282); (152.413, 27.851, 21.404); (3.219, 264.037, 332.503); [R_Axis0,R_PadTouch]; 17.494005
128.921139; (152.631, 28.232, 21.296); (25.910, 251.308, 355.282); (152.413, 27.851, 21.404); (3.219, 264.037, 332.503); [R_Axis0,R_PadTouch]; 17.494005
128.922646; (152.631, 28.232, 21.296); (25.910, 251.308, 355.282); (152.413, 27.851, 21.404); (3.219, 264.037, 332.503); [R_Axis0,R_PadTouch]; 17.494005
128.977775; (152.630, 28.232, 21.291); (25.577, 250.881, 355.778); (152.405, 27.858, 21.388); (1.842, 262.418, 333.703); [R_Axis0,R_PadTouch]; 17.479202
128.978777; (152.630, 28.232, 21.291); (25.577, 250.881, 355.778); (152.405, 27.858, 21.388); (1.842, 262.418, 333.703); [R_Axis0,R_PadTouch]; 17.479202
128.980839; (152.630, 28.232, 21.291); (25.577, 250.881, 355.778); (152.405, 27.858, 21.388); (1.842, 262.418, 333.703); [R_Axis0,R_PadTouch]; 17.479202
129.035530; (152.630, 28.232, 21.289); (25.530, 250.741, 355.684); (152.401, 27.861, 21.382); (1.323, 262.238, 333.374); [R_Axis0,R_PadTouch]; 17.414772
129.036548; (152.630, 28.232, 21.289); (25.530, 250.741, 355.684); (152.401, 27.861, 21.382); (1.323, 262.238, 333.374); [R_Axis0,R_PadTouch]; 17.414772
129.089987; (152.629, 28.231, 21.285); (25.330, 250.473, 355.609); (152.394, 27.865, 21.370); (0.056, 261.256, 335.216); [R_Axis0,R_PadTouch]; 17.454063
129.090989; (152.629, 28.231, 21.285); (25.330, 250.473, 355.609); (152.394, 27.865, 21.370); (0.056, 261.256, 335.216); [R_Axis0,R_PadTouch]; 17.454063
129.093051; (152.629, 28.231, 21.285); (25.330, 250.473, 355.609); (152.394, 27.865, 21.370); (0.056, 261.256, 335.216); [R_Axis0,R_PadTouch]; 17.454063
129.144578; (152.628, 28.232, 21.280); (25.405, 250.153, 355.437); (152.390, 27.867, 21.360); (0.095, 260.149, 333.727); [R_Axis0,R_PadTouch]; 17.565001
129.145588; (152.628, 28.232, 21.280); (25.405, 250.153, 355.437); (152.390, 27.867, 21.360); (0.095, 260.149, 333.727); [R_Axis0,R_PadTouch]; 17.565001
129.194877; (152.628, 28.232, 21.279); (25.274, 249.987, 355.472); (152.389, 27.870, 21.356); (358.914, 259.839, 334.683); [R_Axis0,R_PadTouch]; 17.768839
